ACTUAL_DATES,NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_5MONTH,BC_6MONTH,BC_7MONTH,BC_8MONTH,BC_9MONTH,BC_10MONTH,BC_11MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_4YEAR,BC_5YEAR,BC_6YEAR,BC_7YEAR,BC_8YEAR,BC_9YEAR,BC_10YEAR,BC_15YEAR,BC_20YEAR,BC_25YEAR,BC_30YEAR,BC_30YEARDISPLAY
3/6/2018,3/6/2018,,,-0.552503051,-0.552088434,-0.550326919,-0.547282332,-0.543016675,-0.537590127,-0.531061052,-0.523486008,-0.514919761,-0.505415309,-0.335160672,-0.105251167,0.140891639,0.379106913,0.597580894,0.791878225,0.961658169,1.108634702,1.235378417,1.655101759,1.877526416,2.011965689,2.10166243,2.10166243
3/7/2018,3/7/2018,,,-0.548579853,-0.549182109,-0.548297482,-0.546005993,-0.542384392,-0.537506264,-0.531442146,-0.524259629,-0.516023463,-0.506795659,-0.337952148,-0.109597813,0.133569371,0.367985099,0.582601196,0.773475961,0.940478463,1.085342963,1.210562245,1.627742322,1.850284259,1.985041646,2.074980963,2.074980963
3/8/2018,3/8/2018,,,-0.563857087,-0.562495346,-0.559898716,-0.556125163,-0.551231034,-0.545271061,-0.538298362,-0.530364447,-0.521519234,-0.511811059,-0.343527711,-0.120144077,0.118202011,0.348956147,0.560952388,0.749904195,0.915389835,1.058958175,1.183002584,1.595298579,1.814484526,1.947058874,2.03552107,2.03552107
3/9/2018,3/9/2018,,,-0.569356065,-0.567729265,-0.564783398,-0.560591882,-0.555224902,-0.548749538,-0.541229895,-0.532727224,-0.523300036,-0.513004218,-0.338896703,-0.113685126,0.123521365,0.352211732,0.562686769,0.751355994,0.917933111,1.063792192,1.191027115,1.623521212,1.859168489,2.002789754,2.098783409,2.098783409
3/10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2018,3/12/2018,,,-0.569105853,-0.567895796,-0.565365469,-0.561587701,-0.556632133,-0.550565344,-0.543450981,-0.535349871,-0.526320141,-0.516417325,-0.34658874,-0.124714349,0.110087169,0.337167216,0.546655394,0.734799714,0.901178595,1.047060333,1.174459939,1.608442689,1.845379613,1.989873237,2.086463519,2.086463519
3/13/2018,3/13/2018,,,-0.582006053,-0.578858501,-0.574578245,-0.56922643,-0.562861616,-0.555539874,-0.54731489,-0.538238051,-0.528358542,-0.517723427,-0.345743582,-0.128103389,0.101016635,0.323130361,0.529108751,0.715263798,0.880955348,1.02714997,1.15557054,1.598481335,1.843459605,1.993508523,2.093925195,2.093925195
3/14/2018,3/14/2018,,,-0.590421457,-0.585308767,-0.57921736,-0.572199797,-0.564306468,-0.555585669,-0.546083686,-0.535844868,-0.524911704,-0.513324892,-0.335948773,-0.119423628,0.106165802,0.324348751,0.526882902,0.710380624,0.874217832,1.019255893,1.147075217,1.591166523,1.83882009,1.990959999,2.092860867,2.092860867
3/15/2018,3/15/2018,,,-0.582038627,-0.579138468,-0.575080846,-0.569929176,-0.56374415,-0.556583839,-0.548503805,-0.539557191,-0.529794827,-0.519265316,-0.348089447,-0.13130921,0.096298326,0.316165912,0.519298473,0.702205381,0.864436938,1.007115752,1.132080134,1.560431914,1.795821676,1.939670613,2.035878055,2.035878055
3/16/2018,3/16/2018,,,-0.583189425,-0.580797227,-0.57721085,-0.572495671,-0.566714254,-0.559926452,-0.552189523,-0.543558231,-0.534084944,-0.523819729,-0.354328997,-0.137566575,0.090716906,0.311457334,0.515425805,0.699038056,0.861821655,1.004909295,1.130161995,1.558931083,1.794186053,1.937870267,2.033952174,2.033952174
3/17/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2018,3/19/2018,,,-0.578623513,-0.577039637,-0.574177934,-0.570109148,-0.564900928,-0.558617948,-0.55132203,-0.54307226,-0.533925096,-0.523934478,-0.3548707,-0.135892969,0.09504624,0.317952269,0.523308287,0.707541803,0.87031146,1.012910491,1.137349192,1.560524364,1.791075416,1.931545734,2.025418101,2.025418101
3/20/2018,3/20/2018,,,-0.560111623,-0.560432151,-0.559386632,-0.557049994,-0.553493866,-0.548786718,-0.542993985,-0.536178192,-0.528399076,-0.519713697,-0.362366133,-0.150139832,0.076850194,0.297410032,0.50135538,0.684738699,0.847004226,0.989319385,1.113618066,1.53702433,1.768154247,1.909102207,2.003322606,2.003322606
3/21/2018,3/21/2018,,,-0.546795858,-0.548809203,-0.549301876,-0.548358187,-0.546058667,-0.542480222,-0.537696283,-0.531776958,-0.524789163,-0.516796762,-0.36212544,-0.146895357,0.08475482,0.309809536,0.517393277,0.703413921,0.867409027,1.010720905,1.135466037,1.557353946,1.785947923,1.925018477,2.017929875,2.017929875
3/22/2018,3/22/2018,,,-0.549231378,-0.552117817,-0.553515046,-0.553503521,-0.552160168,-0.549558528,-0.545768896,-0.540858452,-0.534891386,-0.527929027,-0.385639146,-0.181420399,0.041411497,0.259832319,0.46263848,0.645334832,0.807086328,0.948929372,1.072745494,1.49353779,1.722438864,1.861811564,1.954935062,1.954935062
3/23/2018,3/23/2018,,,-0.536523053,-0.540820442,-0.543508315,-0.544674617,-0.544403355,-0.542774767,-0.53986548,-0.535748654,-0.530494136,-0.524168594,-0.385193149,-0.179921076,0.045323024,0.266197668,0.471014875,0.655178904,0.817911163,0.960352825,1.084490641,1.505132164,1.733419621,1.87236945,1.965211597,1.965211597
3/24/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2018,3/26/2018,,,-0.56390936,-0.563134635,-0.561180804,-0.558109923,-0.553981448,-0.548852335,-0.542777135,-0.535808088,-0.527995215,-0.519386405,-0.368856593,-0.168196223,0.047425181,0.258746366,0.456036115,0.635141259,0.795063502,0.93649405,1.060943992,1.491321052,1.72986581,1.876049656,1.973890835,1.973890835
3/27/2018,3/27/2018,,,-0.553187689,-0.554287074,-0.554138518,-0.55280619,-0.550351594,-0.546833682,-0.542308945,-0.536831509,-0.530453232,-0.523223784,-0.385523061,-0.192424215,0.019134669,0.228668191,0.425609302,0.605242167,0.766195593,0.908918148,1.034766644,1.471516543,1.71432087,1.863238731,1.962929332,1.962929332
3/28/2018,3/28/2018,,,-0.5441038,-0.547392732,-0.549250131,-0.549750976,-0.548967052,-0.546967074,-0.543816808,-0.53957919,-0.534314438,-0.528080157,-0.395476241,-0.200461455,0.015158985,0.228636402,0.428515237,0.609876674,0.771456287,0.913922391,1.038867792,1.467348919,1.70244576,1.845952638,1.941893467,1.941893467
3/29/2018,3/29/2018,,,-0.536935447,-0.541425216,-0.544455524,-0.546101222,-0.546434021,-0.545522609,-0.543432777,-0.540227526,-0.535967178,-0.530709483,-0.407745536,-0.218967634,-0.006917548,0.204941196,0.404551353,0.586526348,0.749257319,0.893169706,1.019691726,1.455455804,1.695442684,1.842074329,1.940121995,1.940121995
3/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2018,4/3/2018,,,-0.529486811,-0.533724069,-0.536590548,-0.538152455,-0.538473425,-0.537614616,-0.535634794,-0.532590419,-0.52853573,-0.523522822,-0.404981009,-0.220262578,-0.010120575,0.201974298,0.403328369,0.587830252,0.75327368,0.899670981,1.02820845,1.465776816,1.699647451,1.839202943,1.931423928,1.931423928
4/4/2018,4/4/2018,,,-0.51280932,-0.51963609,-0.524925593,-0.528753073,-0.531190768,-0.532308019,-0.532171383,-0.530844731,-0.528389349,-0.524864034,-0.417489263,-0.236446419,-0.026792323,0.185881828,0.387935805,0.572912209,0.738542867,0.884894541,1.013240515,1.449842178,1.684220252,1.824987763,1.918398008,1.918398008
4/5/2018,4/5/2018,,,-0.521431814,-0.526770634,-0.53063546,-0.533098945,-0.534230838,-0.534098089,-0.532764954,-0.530293093,-0.526741669,-0.522167438,-0.405239322,-0.218597798,-0.005657998,0.208979773,0.412263034,0.598075308,0.764340413,0.911228868,1.04006669,1.478905344,1.715096707,1.857175819,1.951515936,1.951515936
4/6/2018,4/6/2018,,,-0.536959858,-0.539848057,-0.541402357,-0.54168916,-0.54077221,-0.538712689,-0.535569317,-0.531398437,-0.526254109,-0.52018819,-0.391719551,-0.201380865,0.011229295,0.223727707,0.424297131,0.607465547,0.771455186,0.916539881,1.044045252,1.481168886,1.718942994,1.862838102,1.958618631,1.958618631
4/7/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2018,4/9/2018,,,-0.531587814,-0.53524952,-0.537541574,-0.538531673,-0.538284816,-0.536863403,-0.534327328,-0.530734077,-0.526138812,-0.520594458,-0.396584652,-0.208302911,0.003680506,0.21635282,0.41749984,0.601407877,0.766159051,0.911951953,1.040077178,1.478936877,1.717110804,1.861004982,1.956708744,1.956708744
4/10/2018,4/10/2018,,,-0.5352658,-0.537186071,-0.537828262,-0.537256465,-0.535532198,-0.532714504,-0.528860039,-0.52402316,-0.518256013,-0.511608616,-0.37880396,-0.187498138,0.02423215,0.234932107,0.433335086,0.614282401,0.776163216,0.919330058,1.045135776,1.47662665,1.711668203,1.854056821,1.948878959,1.948878959
