ACTUAL_DATES,NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_5MONTH,BC_6MONTH,BC_7MONTH,BC_8MONTH,BC_9MONTH,BC_10MONTH,BC_11MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_4YEAR,BC_5YEAR,BC_6YEAR,BC_7YEAR,BC_8YEAR,BC_9YEAR,BC_10YEAR,BC_15YEAR,BC_20YEAR,BC_25YEAR,BC_30YEAR,BC_30YEARDISPLAY
2/25/2019,2/25/2019,,,-0.386659649,-0.367349716,-0.348519258,-0.330147689,-0.31221521,-0.29470278,-0.277592092,-0.260865548,-0.244506235,-0.228497898,-0.058666443,0.083051399,0.209335581,0.327384691,0.440973041,0.551806583,0.660402055,0.766644961,0.87013366,1.331262374,1.682891891,1.937707658,2.121930895,2.121930895
2/26/2019,2/26/2019,,,-0.396197276,-0.379544956,-0.363236998,-0.3472579,-0.331592776,-0.316227336,-0.301147868,-0.286341211,-0.271794744,-0.257496361,-0.101490774,0.035227049,0.161643072,0.282582787,0.400332803,0.515697985,0.628676994,0.73888263,0.845793758,1.316345097,1.66968774,1.923704224,2.106667463,2.106667463
2/27/2019,2/27/2019,,,-0.331476278,-0.320519333,-0.309506889,-0.29844041,-0.287321393,-0.276151365,-0.264931874,-0.253664494,-0.242350819,-0.230992457,-0.091805851,0.050733554,0.193936968,0.33547616,0.473469296,0.606487019,0.733515579,0.853900022,0.967281294,1.430139446,1.746900648,1.963334621,2.115342796,2.115342796
2/28/2019,2/28/2019,,,-0.34317911,-0.330318873,-0.317494312,-0.304703094,-0.291943064,-0.27921223,-0.266508762,-0.25383098,-0.241177348,-0.228546468,-0.078400909,0.06957587,0.215126356,0.357377997,0.495293667,0.627913297,0.754467295,0.874414196,0.987436012,1.449408294,1.765553433,1.981136677,2.132239952,2.132239952
3/1/2019,3/1/2019,,,-0.380039237,-0.362732736,-0.34573749,-0.329037356,-0.312616966,-0.296461693,-0.28055762,-0.264891514,-0.249450795,-0.234223507,-0.064539931,0.089540724,0.235215547,0.375558634,0.511450731,0.642721443,0.768799148,0.889059106,1.002991348,1.472181976,1.792646986,2.009169136,2.159774636,2.159774636
3/2/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2019,3/4/2019,,,-0.408493517,-0.390070785,-0.371991759,-0.35424002,-0.336799898,-0.319656436,-0.302795371,-0.286203097,-0.269866644,-0.253773653,-0.075879121,0.08298379,0.230866452,0.37160725,0.506711455,0.636487774,0.760713363,0.879004783,0.991009636,1.453226257,1.770957332,1.986781621,2.137363154,2.137363154
3/5/2019,3/5/2019,,,-0.416626838,-0.399689545,-0.382992588,-0.366524859,-0.350275765,-0.334235206,-0.31839356,-0.302741656,-0.287270765,-0.271972575,-0.099342713,0.059083749,0.208529593,0.351355363,0.488366408,0.619601446,0.744790844,0.86360835,0.975796797,1.436759802,1.753332269,1.968913309,2.119676223,2.119676223
3/6/2019,3/6/2019,,,-0.419937163,-0.404048971,-0.388378695,-0.372915712,-0.357649898,-0.342571613,-0.327671681,-0.312941366,-0.29837236,-0.283956763,-0.120549452,0.030797512,0.174860052,0.313653765,0.447711688,0.57685404,0.700634027,0.818580991,0.930319893,1.392561823,1.712328862,1.930888674,2.084007668,2.084007668
